id,Job.Title,Est_Salary,Max_Salary,Min_Salary,City,State,Easy.Apply,Revenue_USD,Rating,Size,Industry,Sector,Type.of.ownership,Years_Founded,Company.Name,lat,lon
1428,Data Analyst,118,144,92,Tempe,AZ,NA,Unknown,4.3,501 to 1000 employees,,,Company - Private,NA,Net Orbit Inc,33.4255,-111.940009
1429,"Head of Data Science, Americas",118,144,92,Phoenix,AZ,NA,Unknown,4.3,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,14,BlueOptima,33.4484,-112.074142
1430,Data Engineer,118,144,92,Phoenix,AZ,NA,100-500 million,3.9,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,Diverse Lynx,33.4484,-112.074142
1431,Senior Big Data Engineer,118,144,92,Phoenix,AZ,NA,Unknown,4.8,1001 to 5000 employees,IT Services,Information Technology,Company - Public,9,Zoom Video Communications,33.4484,-112.074142
1432,Business Intelligence Analyst,118,144,92,Phoenix,AZ,NA,1-2 billion,2.8,51 to 200 employees,IT Services,Information Technology,Company - Private,32,Scientific Technologies Corporation,33.4484,-112.074142
1433,Medical Lab Scientist II,118,144,92,Phoenix,AZ,NA,0.5-1 billion,3.9,1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Nonprofit Organization,37,Phoenix Children's Hospital,33.4484,-112.074142
1434,Business Intelligence Analyst,118,144,92,Scottsdale,AZ,NA,,NA,,,,,NA,MELISSAKING (MK),33.4942,-111.926018
1435,Data Scientist (Top Secret/SCI with Polygraph),118,144,92,DC Ranch,AZ,NA,50-100 million,3.5,201 to 500 employees,IT Services,Information Technology,Company - Private,22,Buchanan & Edwards,33.6694,-111.866546
1436,Data Engineer,118,144,92,Phoenix,AZ,NA,2-5 billion,3.3,10000+ employees,Trucking,Transportation & Logistics,Company - Public,54,Swift Refrigerated,33.4484,-112.074142
1437,Data Analyst (Supply Chain) - May Reside Anywhere in the US - Up to 100% Travel,118,144,92,Phoenix,AZ,1,50-100 million,4.5,51 to 200 employees,Consulting,Business Services,Company - Private,16,Maine Pointe,33.4484,-112.074142
1438,SYSTEMS and DATA ANALYST,80.5,97,64,Phoenix,AZ,NA,,NA,,,,,NA,Isaac Elementary School District #5,33.4484,-112.074142
1439,Data Management & Analytics - Consultant,80.5,97,64,Phoenix,AZ,NA,Unknown,3.4,5001 to 10000 employees,Consulting,Business Services,Company - Private,2,Guidehouse,33.4484,-112.074142
1440,"Data Scientist, SME",80.5,97,64,DC Ranch,AZ,NA,100-500 million,4.2,501 to 1000 employees,IT Services,Information Technology,Company - Private,10,The Buffalo Group,33.6694,-111.866546
1441,Data Modeler,80.5,97,64,Phoenix,AZ,NA,<1 million,4,1 to 50 employees,Accounting,Accounting & Legal,Company - Private,NA,Lorven Technologies Inc,33.4484,-112.074142
1442,COMPUTER SCIENTIST,80.5,97,64,Phoenix,AZ,NA,2-5 billion,3.8,1001 to 5000 employees,Federal Agencies,Government,Government,245,U.S. Navy,33.4484,-112.074142
1443,Pre-Clinical Imaging Field Application Scientist,80.5,97,64,Phoenix,AZ,NA,2-5 billion,3.2,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Public,83,Perkinelmer,33.4484,-112.074142
1444,Data Modeler Architect,80.5,97,64,Phoenix,AZ,NA,10-25 million,5,201 to 500 employees,IT Services,Information Technology,Company - Private,2,Nucleusteq,33.4484,-112.074142
1445,Data Engineer,80.5,97,64,Phoenix,AZ,NA,,NA,,,,,NA,Kforce Technology Staffing,33.4484,-112.074142
1446,Data Engineer II,80.5,97,64,Tempe,AZ,NA,25-50 million,3.5,1001 to 5000 employees,Banks & Credit Unions,Finance,Company - Public,37,Silicon Valley Bank,33.4255,-111.940009
1447,Transportation Data Analyst,80.5,97,64,Glendale,AZ,NA,,NA,,,,,NA,Desert Choice Transport,33.5387,-112.185994
1448,CLINICAL DATA ANALYST,80.5,97,64,Phoenix,AZ,NA,Unknown,3,10000+ employees,Health Care Services & Hospitals,Health Care,Company - Private,15,Envision Healthcare,33.4484,-112.074142
1449,Data Engineer,80.5,97,64,Phoenix,AZ,NA,Unknown,3.4,51 to 200 employees,Staffing & Outsourcing,Business Services,Company - Private,NA,VincentBenjamin,33.4484,-112.074142
1450,"Data Scientist, Manager (Global Data and Analytics))",80.5,97,64,Tempe,AZ,NA,2-5 billion,2.9,10000+ employees,Gas Stations,Retail,Company - Public,69,"Circle K Stores, Inc.",33.4255,-111.940009
1451,Data Analyst - Data Science and Analytics,80.5,97,64,Phoenix,AZ,NA,Unknown,NA,1 to 50 employees,,,Company - Private,NA,MLWIZ Team,33.4484,-112.074142
1452,Geologist or Environmental Scientist - Entry Level,80.5,97,64,Phoenix,AZ,NA,50-100 million,2.7,501 to 1000 employees,Architectural & Engineering Services,Business Services,Company - Private,35,"Groundwater & Environmental Services, Inc.",33.4484,-112.074142
1453,Data Engineer/Bigdata Engineer,80.5,97,64,Phoenix,AZ,NA,100-500 million,3.6,1001 to 5000 employees,IT Services,Information Technology,Company - Private,30,Xoriant Corporation,33.4484,-112.074142
1454,BIG-DATA / Hadoop Consultant (Data Engineer with Java),80.5,97,64,Chandler,AZ,NA,Unknown,5,51 to 200 employees,,,Company - Private,NA,Enexus Global,33.3062,-111.84125
1455,Data Architect /Data Modeler/Data Analyst,80.5,97,64,Phoenix,AZ,NA,1-5 million,4.4,1 to 50 employees,IT Services,Information Technology,Company - Private,NA,Softcom Systems,33.4484,-112.074142
1456,Data Science with Strong Python Knowledge,80.5,97,64,Phoenix,AZ,NA,100-500 million,3.9,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,Diverse Lynx,33.4484,-112.074142
1457,Data Engineer,80.5,97,64,Phoenix,AZ,NA,25-50 million,4.1,10000+ employees,Staffing & Outsourcing,Business Services,Company - Public,54,Kforce,33.4484,-112.074142
1458,"Only W2-Data Engineer(Bigdata, AWS, Lambda,Python, Spark)",80.5,97,64,Phoenix,AZ,NA,100-500 million,3.6,1001 to 5000 employees,IT Services,Information Technology,Company - Private,30,Xoriant Corporation,33.4484,-112.074142
1459,Data Analyst with ETL tools and EDW,80.5,97,64,Tempe,AZ,NA,Unknown,NA,51 to 200 employees,,,Company - Private,NA,LiveMindz,33.4255,-111.940009
1460,Senior Data Analyst,80.5,97,64,Chandler,AZ,NA,Unknown,NA,51 to 200 employees,Construction,"Construction, Repair & Maintenance",Company - Private,NA,Bartech Group,33.3062,-111.84125
1461,Data Modeler / Analyst with Data Steward,80.5,97,64,Tempe,AZ,NA,10-25 million,4.5,201 to 500 employees,IT Services,Information Technology,Company - Private,16,Strategic Systems,33.4255,-111.940009
1462,Data Engineer,80.5,97,64,Phoenix,AZ,NA,1-5 million,1.6,1 to 50 employees,Advertising & Marketing,Business Services,Company - Public,NA,"Management Decisions, Inc.",33.4484,-112.074142
1463,Data Analyst - Financial Advisor Services,80.5,97,64,Scottsdale,AZ,NA,Unknown,3.2,10000+ employees,Investment Banking & Asset Management,Finance,Company - Private,45,Vanguard,33.4942,-111.926018
1464,Sr Marketing Analytics Manager (Individual Contributor),80.5,97,64,Tempe,AZ,NA,2-5 billion,3.7,1001 to 5000 employees,Internet,Information Technology,Company - Public,1,NortonLifeLock,33.4255,-111.940009
1465,Java with big data engineer,80.5,97,64,Phoenix,AZ,NA,1-2 billion,4.1,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,21,Sysmind LLC,33.4484,-112.074142
1466,Data Engineer,80.5,97,64,Phoenix,AZ,NA,10-25 million,4.1,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,24,DEREX TECHNOLOGIES INC.,33.4484,-112.074142
1467,Jr. Data Engineer,80.5,97,64,Phoenix,AZ,NA,100-500 million,3.2,1001 to 5000 employees,Staffing & Outsourcing,Business Services,Company - Private,13,Net2Source,33.4484,-112.074142
1468,CLINICAL DATA ANALYST,60,73,47,Phoenix,AZ,NA,Unknown,3.6,10000+ employees,,,Company - Private,NA,Envision Physician Services,33.4484,-112.074142
1469,Big Data Engineer,60,73,47,Phoenix,AZ,NA,100-500 million,3.6,1001 to 5000 employees,IT Services,Information Technology,Company - Private,30,Xoriant Corporation,33.4484,-112.074142
1470,Med Lab Scientist - Molecular Night Shift,60,73,47,Phoenix,AZ,NA,50-100 million,3,1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Company - Private,23,Sonora Quest Laboratories,33.4484,-112.074142
1471,Epic BI & Analytics Manager-Remote,60,73,47,Phoenix,AZ,NA,25-50 million,4.1,10000+ employees,Staffing & Outsourcing,Business Services,Company - Public,54,Kforce,33.4484,-112.074142
1472,Python/Machine Learning Engineer,60,73,47,Phoenix,AZ,NA,10-25 million,4.9,1 to 50 employees,Staffing & Outsourcing,Business Services,Company - Private,20,"Airetel Staffing, Inc",33.4484,-112.074142
1473,ETL QA / Data Analyst,60,73,47,Scottsdale,AZ,NA,1-5 million,4.2,201 to 500 employees,Accounting,Accounting & Legal,Company - Private,NA,Pegasus Knowledge Solutions,33.4942,-111.926018
1474,Data Engineer,60,73,47,Chandler,AZ,NA,1-5 million,4.3,1 to 50 employees,IT Services,Information Technology,Contract,NA,PeopleNTech LLC,33.3062,-111.84125
1475,Data Engineer,60,73,47,Phoenix,AZ,NA,1-2 billion,4,201 to 500 employees,Staffing & Outsourcing,Business Services,Company - Private,20,GTN Technical Staffing,33.4484,-112.074142
1476,Medical Lab Scientist - Molecular,60,73,47,Phoenix,AZ,NA,50-100 million,3,1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Company - Private,23,Sonora Quest Laboratories,33.4484,-112.074142
1477,Physical Scientist,60,73,47,Luke AFB,AZ,NA,10+ billion,4.2,10000+ employees,Federal Agencies,Government,Government,73,U.S. Air Force,33.5354,-112.373523
1478,Data Analyst/Business Analyst with SQL,60,73,47,Phoenix,AZ,NA,100-500 million,3.9,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,Diverse Lynx,33.4484,-112.074142
1479,Senior User Experience Research Scientist,60,73,47,Phoenix,AZ,NA,100-500 million,3.5,1001 to 5000 employees,Consulting,Business Services,Company - Public,53,Exponent,33.4484,-112.074142
1480,Data Analyst - Mid-Level,60,73,47,Tempe,AZ,NA,100-500 million,3.5,1001 to 5000 employees,Staffing & Outsourcing,Business Services,Company - Private,50,"The Judge Group, Inc.",33.4255,-111.940009
1481,Senior Data Analyst w/ Collibra,60,73,47,Phoenix,AZ,NA,10-25 million,5,201 to 500 employees,IT Services,Information Technology,Company - Private,2,Nucleusteq,33.4484,-112.074142
1482,Data Engineer - Brand Program,60,73,47,Tempe,AZ,NA,10+ billion,3.9,10000+ employees,Internet,Information Technology,Company - Public,26,Amazon,33.4255,-111.940009
1483,Senior Business Intelligence Data Analyst,60,73,47,Phoenix,AZ,NA,2-5 billion,3.4,1001 to 5000 employees,Food & Beverage Manufacturing,Manufacturing,Company - Private,98,Shamrock Foods,33.4484,-112.074142
1484,Project Regulatory/Risk Data Analyst,60,73,47,Tempe,AZ,NA,10+ billion,3.1,10000+ employees,Banks & Credit Unions,Finance,Company - Public,156,MUFG,33.4255,-111.940009
1485,Big Data Engineer,60,73,47,Phoenix,AZ,NA,1-2 billion,4.1,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,21,Sysmind LLC,33.4484,-112.074142
1486,Senior Data Engineer,60,73,47,Phoenix,AZ,NA,Unknown,3.9,1001 to 5000 employees,"Department, Clothing, & Shoe Stores",Retail,Company - Private,11,thredUP,33.4484,-112.074142
1487,Senior Thermal Modeling Engineer,60,73,47,Phoenix,AZ,NA,<1 million,4.6,201 to 500 employees,Transportation Equipment Manufacturing,Manufacturing,Company - Public,6,Nikola Motor Company,33.4484,-112.074142
1488,Data Engineer - Azure,60,73,47,Phoenix,AZ,NA,0.5-1 billion,3.4,1001 to 5000 employees,"Cable, Internet & Telephone Providers",Telecommunications,Company - Public,34,Cable One,33.4484,-112.074142
1489,Big Data Engineer/Admin,60,73,47,Tempe,AZ,NA,10+ billion,3.4,10000+ employees,Insurance Agencies & Brokerages,Insurance,Company - Public,89,"Allstate Insurance - 1202 Irving, TX",33.4255,-111.940009
1490,Epic BI & Analytics Manager-Remote,60,73,47,Phoenix,AZ,NA,,NA,,,,,NA,Kforce Technology Staffing,33.4484,-112.074142
1491,Data & Analytics Manager,60,73,47,Mesa,AZ,NA,1-2 billion,3.6,501 to 1000 employees,Health Care Services & Hospitals,Health Care,Nonprofit Organization,63,COPA Health,33.4151,-111.831479
1492,BIG DATA ENGINEER,60,73,47,Phoenix,AZ,NA,1-2 billion,4.8,201 to 500 employees,Staffing & Outsourcing,Business Services,Company - Private,20,Metasys Technologies,33.4484,-112.074142
1493,Senior Data Engineer,60,73,47,Scottsdale,AZ,NA,100-500 million,3.7,1001 to 5000 employees,Computer Hardware & Software,Information Technology,Company - Public,29,Axon,33.4942,-111.926018
1494,Senior Big Data Analyst,60,73,47,Phoenix,AZ,NA,5-10 million,3.6,51 to 200 employees,Consulting,Business Services,Company - Private,NA,"Resourcesoft, Inc.",33.4484,-112.074142
1495,Data Analyst Senior,60,73,47,Chandler,AZ,NA,1-2 billion,4.1,201 to 500 employees,Staffing & Outsourcing,Business Services,Company - Private,20,Kineticom,33.3062,-111.84125
1496,DATA ENGINEER,60,73,47,Phoenix,AZ,NA,,NA,,,,,NA,Swift Corporate,33.4484,-112.074142
1497,Data Engineer,60,73,47,Chandler,AZ,NA,50-100 million,4,201 to 500 employees,IT Services,Information Technology,Company - Private,21,ESolutions Inc,33.3062,-111.84125
1498,Informatica IDQ - Data Engineer II,120,156,84,Tempe,AZ,NA,25-50 million,3.5,1001 to 5000 employees,Banks & Credit Unions,Finance,Company - Public,37,Silicon Valley Bank,33.4255,-111.940009
1499,Data Engineer,120,156,84,Scottsdale,AZ,NA,,NA,,,,,NA,Vegatron Systems,33.4942,-111.926018
1500,Data Engineer,120,156,84,Tempe,AZ,NA,100-500 million,3.5,1001 to 5000 employees,Staffing & Outsourcing,Business Services,Company - Private,50,The Judge Group,33.4255,-111.940009
1501,Forensic Scientist IV - DNA,120,156,84,Phoenix,AZ,NA,Unknown,3.1,1001 to 5000 employees,State & Regional Agencies,Government,Government,51,Arizona Department of Public Safety,33.4484,-112.074142
1502,Senior Data Analyst,120,156,84,Phoenix,AZ,NA,Unknown,3.4,1 to 50 employees,Staffing & Outsourcing,Business Services,Company - Private,22,Tech Finders,33.4484,-112.074142
1503,Big Data Engineer,120,156,84,Phoenix,AZ,NA,50-100 million,3.8,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,IntraEdge,33.4484,-112.074142
1504,Big Data Engineer with Strong Java background,120,156,84,Phoenix,AZ,NA,,NA,,,,,NA,Youth Power Technosoft LLC.,33.4484,-112.074142
1505,(Data Analyst) BA/BSA,120,156,84,Mesa,AZ,NA,Unknown,4.1,51 to 200 employees,Staffing & Outsourcing,Business Services,Company - Private,13,InterSources Inc.,33.4151,-111.831479
1506,Big-Data Engineer,120,156,84,Phoenix,AZ,NA,10-25 million,5,201 to 500 employees,IT Services,Information Technology,Company - Private,2,Nucleusteq,33.4484,-112.074142
1507,Senior Data Engineer,120,156,84,Scottsdale,AZ,NA,2-5 billion,4,10000+ employees,Automotive Parts & Accessories Stores,Retail,Company - Private,60,Discount Tire,33.4942,-111.926018
1508,Big Data Engineer w/ Azure,120,156,84,Phoenix,AZ,NA,10-25 million,5,201 to 500 employees,IT Services,Information Technology,Company - Private,2,Nucleusteq,33.4484,-112.074142
1509,Big Data Engineer,120,156,84,Phoenix,AZ,NA,,NA,,,,,NA,Callibus Inc,33.4484,-112.074142
1510,Big Data Engineer,120,156,84,Phoenix,AZ,NA,5-10 million,4,51 to 200 employees,IT Services,Information Technology,Company - Private,NA,ISGIT,33.4484,-112.074142
1511,Financial Data Analyst,120,156,84,DC Ranch,AZ,NA,Unknown,4.3,201 to 500 employees,Consulting,Business Services,Company - Private,17,Na Ali'i,33.6694,-111.866546
1512,Senior Data Analyst,120,156,84,Scottsdale,AZ,NA,,NA,,,,,NA,Discount Tire Corporate Careers,33.4942,-111.926018
1513,Data Engineer,120,156,84,Phoenix,AZ,NA,100-500 million,3.2,1001 to 5000 employees,Staffing & Outsourcing,Business Services,Company - Private,13,Net2Source,33.4484,-112.074142
1514,Card Data Analyst,120,156,84,Tempe,AZ,NA,1-2 billion,4,201 to 500 employees,Staffing & Outsourcing,Business Services,Company - Private,20,GTN Technical Staffing,33.4255,-111.940009
1515,Big Data Engineer,120,156,84,Phoenix,AZ,NA,100-500 million,3.9,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,Diverse Lynx,33.4484,-112.074142
1516,"Job Opening : Data Engineer (Python) @ Chandler, AZ , San Francisco , CA or New Jersey",120,156,84,Chandler,AZ,NA,50-100 million,4,201 to 500 employees,IT Services,Information Technology,Company - Private,21,ESolutions Inc,33.3062,-111.84125
1517,"Data Analyst- San Antonio, Des Moines",120,156,84,Chandler,AZ,NA,25-50 million,4.1,10000+ employees,Staffing & Outsourcing,Business Services,Company - Public,54,Kforce,33.3062,-111.84125
1518,Technical Business/Data Analyst,120,156,84,Tempe,AZ,NA,,NA,,,,,NA,"Capgemini America, Inc.",33.4255,-111.940009
1519,Adobe Analytics Manager,120,156,84,Phoenix,AZ,NA,Unknown,NA,51 to 200 employees,,,Company - Private,NA,LiveMindz,33.4484,-112.074142
1520,Sr. Data Engineer,120,156,84,Phoenix,AZ,NA,Unknown,3.8,10000+ employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,5,Hewlett Packard Enterprise,33.4484,-112.074142
1521,Federal - Data Engineer - Senior,120,156,84,Phoenix,AZ,NA,10-25 million,4.2,1 to 50 employees,Computer Hardware & Software,Information Technology,Company - Private,18,Solekai Systems Corp,33.4484,-112.074142
1522,Post-Doctoral Magnetic Resonance Research Scientist,120,156,84,Phoenix,AZ,NA,10+ billion,4,10000+ employees,Electrical & Electronic Manufacturing,Manufacturing,Company - Public,177,Siemens,33.4484,-112.074142
1523,Senior Java Visualization Data Engineer,120,156,84,Phoenix,AZ,NA,,NA,,,,,NA,Kforce Technology Staffing,33.4484,-112.074142
1524,Senior Data Analyst,120,156,84,Scottsdale,AZ,NA,,NA,,,,,NA,Pure Flix Digital,33.4942,-111.926018
1525,Senior Data Analyst,120,156,84,Tempe,AZ,NA,,NA,,,,,NA,Green Lion Search Group,33.4255,-111.940009
1526,Senior Java Visualization Data Engineer,120,156,84,Phoenix,AZ,NA,25-50 million,4.1,10000+ employees,Staffing & Outsourcing,Business Services,Company - Public,54,Kforce,33.4484,-112.074142
1527,Big Data Engineer,120,156,84,Phoenix,AZ,NA,<1 million,4,1 to 50 employees,Accounting,Accounting & Legal,Company - Private,NA,Lorven Technologies Inc,33.4484,-112.074142
1528,Big Data Engineer/Admin,104,111,97,Tempe,AZ,NA,,NA,,,,,NA,"Allstate Insurance - 1202 Irving, TX",33.4255,-111.940009
1529,Greenplum /Big Data Engineer/Architect,104,111,97,Chandler,AZ,NA,1-5 million,3.7,51 to 200 employees,Advertising & Marketing,Business Services,Company - Private,16,Infotree Service Inc,33.3062,-111.84125
1530,Data Engineer II,104,111,97,Scottsdale,AZ,NA,,NA,,,,,NA,Discount Tire Corporate Careers,33.4942,-111.926018
1531,Marketing Data Analyst Coordinator,104,111,97,Tempe,AZ,NA,Unknown,NA,Unknown,,,Company - Private,NA,AUDACIOUS STUDIOS LLC,33.4255,-111.940009
1532,Big Data Engineer,104,111,97,Phoenix,AZ,NA,Unknown,2.9,Unknown,,,Company - Public,NA,Impetus,33.4484,-112.074142
1533,SQL/SAS Data Analyst,104,111,97,Chandler,AZ,NA,100-500 million,3.6,1001 to 5000 employees,Staffing & Outsourcing,Business Services,Company - Private,23,Signature Consultants,33.3062,-111.84125
1534,Senior Data Engineer,104,111,97,Chandler,AZ,NA,Unknown,3.8,51 to 200 employees,K-12 Education,Education,Company - Private,20,StrongMind,33.3062,-111.84125
1535,Principal Device Modeling Engineer,104,111,97,Chandler,AZ,NA,5-10 billion,3.7,10000+ employees,Electrical & Electronic Manufacturing,Manufacturing,Company - Public,14,NXP Semiconductors,33.3062,-111.84125
1536,Big Data Engineer,104,111,97,Phoenix,AZ,NA,Unknown,NA,Unknown,,,Company - Private,NA,"STM Consulting, Inc.",33.4484,-112.074142
1537,Civil Engineer/GIS Data Analyst,104,111,97,Chandler,AZ,NA,25-50 million,3.7,10000+ employees,Architectural & Engineering Services,Business Services,Company - Public,66,Stantec,33.3062,-111.84125
1538,Senior Data Engineer,104,111,97,Phoenix,AZ,NA,100-500 million,3.6,1001 to 5000 employees,IT Services,Information Technology,Company - Private,30,Xoriant Corporation,33.4484,-112.074142
1539,Data Engineer,104,111,97,Tempe,AZ,NA,2-5 billion,2.9,10000+ employees,Gas Stations,Retail,Company - Public,69,circle k,33.4255,-111.940009
1540,Phoenix Data Science Tutor Jobs,104,111,97,Phoenix,AZ,NA,Unknown,4.2,201 to 500 employees,Internet,Information Technology,Company - Private,13,Varsity Tutors,33.4484,-112.074142
1541,Data Architect - Azure,104,111,97,Scottsdale,AZ,NA,Unknown,2.5,1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Company - Private,19,Matrix Medical Network,33.4942,-111.926018
1542,Big Data Engineer,104,111,97,Phoenix,AZ,NA,Unknown,3.7,1001 to 5000 employees,Computer Hardware & Software,Information Technology,Company - Private,29,Impetus Technologies,33.4484,-112.074142
1543,Senior Data Science Consultant,104,111,97,Chandler,AZ,NA,10+ billion,3.4,10000+ employees,Insurance Agencies & Brokerages,Insurance,Company - Public,89,Allstate,33.3062,-111.84125
1544,Sr Data Engineer (memSql),104,111,97,Tempe,AZ,NA,Unknown,3.1,1 to 50 employees,,,Company - Private,NA,"Clarivoyant, LLC",33.4255,-111.940009
1545,Lead of Cybersecurity Data Protection & Analytics,104,111,97,Phoenix,AZ,NA,10+ billion,3.6,10000+ employees,Insurance Carriers,Insurance,Company - Public,59,Humana,33.4484,-112.074142
1546,Director of Data Science,104,111,97,Tempe,AZ,NA,2-5 billion,3.7,5001 to 10000 employees,Vehicle Dealers,Retail,Company - Private,18,"DriveTime Automotive Group, Inc.",33.4255,-111.940009
1547,Information Security Data Analyst,104,111,97,Glendale,AZ,NA,Unknown,3.6,501 to 1000 employees,Staffing & Outsourcing,Business Services,Company - Private,24,"ICST, LLC",33.5387,-112.185994
1548,Sr Data Engineer,104,111,97,Phoenix,AZ,NA,1-5 million,3.2,1 to 50 employees,IT Services,Information Technology,Company - Private,NA,Kollasoft Inc.,33.4484,-112.074142
1549,Big Data Engineer II,92.5,101,84,Phoenix,AZ,NA,50-100 million,3.8,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,IntraEdge,33.4484,-112.074142
1550,Senior Data Engineer - Apps Systems Engineer 5,92.5,101,84,Chandler,AZ,NA,10+ billion,3.6,10000+ employees,Banks & Credit Unions,Finance,Company - Public,168,Wells Fargo,33.3062,-111.84125
1551,Cyber Security Research Scientist 3 - Sr. Application Pentester,92.5,101,84,Tempe,AZ,NA,10+ billion,3.6,10000+ employees,Banks & Credit Unions,Finance,Company - Public,168,Wells Fargo,33.4255,-111.940009
1552,Senior Data Engineer,92.5,101,84,Phoenix,AZ,NA,10+ billion,3.1,10000+ employees,Truck Rental & Leasing,Transportation & Logistics,Company - Public,75,U-Haul,33.4484,-112.074142
1553,Sr. Data Engineer,92.5,101,84,Chandler,AZ,NA,100-500 million,3.9,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,Diverse Lynx,33.3062,-111.84125
1554,Azure Data Engineer,92.5,101,84,Phoenix,AZ,NA,0.5-1 billion,3.4,1001 to 5000 employees,"Cable, Internet & Telephone Providers",Telecommunications,Company - Public,34,"Cable One, Inc.",33.4484,-112.074142
1555,Senior Data Engineer,92.5,101,84,Chandler,AZ,NA,100-500 million,3.9,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,Diverse Lynx,33.3062,-111.84125
1556,"IT Data Analyst, TS/SCI with Poly",92.5,101,84,DC Ranch,AZ,NA,1-5 million,3.8,51 to 200 employees,Computer Hardware & Software,Information Technology,Company - Private,24,"AOC Solutions, Inc.",33.6694,-111.866546
1557,Lead Data Engineer,92.5,101,84,Tempe,AZ,NA,Unknown,3.2,201 to 500 employees,IT Services,Information Technology,Company - Private,10,Blue Rose Technologies,33.4255,-111.940009
1558,Senior Data Engineer (TS/SCI with Polygraph),92.5,101,84,DC Ranch,AZ,NA,50-100 million,3.5,201 to 500 employees,IT Services,Information Technology,Company - Private,22,Buchanan & Edwards,33.6694,-111.866546
1559,Medical Laboratory Scientist (MLS),92.5,101,84,Gilbert,AZ,NA,0.5-1 billion,4.1,1 to 50 employees,Staffing & Outsourcing,Business Services,Company - Private,29,APN Staffing & Employment Solutions,33.3528,-111.789037
1560,Lead Data Engineer,92.5,101,84,Tempe,AZ,NA,50-100 million,4.4,201 to 500 employees,IT Services,Information Technology,Company - Private,17,Auritas LLC,33.4255,-111.940009
1561,AWS Data Engineer,92.5,101,84,Tempe,AZ,NA,1-5 million,3.1,1 to 50 employees,IT Services,Information Technology,Company - Public,NA,TekShapers,33.4255,-111.940009
1562,AWS Data Engineer,92.5,101,84,Scottsdale,AZ,NA,<1 million,4,1 to 50 employees,Accounting,Accounting & Legal,Company - Private,NA,Lorven Technologies Inc,33.4942,-111.926018
1563,Senior Data Science Consultant,92.5,101,84,Chandler,AZ,NA,Unknown,1,1 to 50 employees,Insurance Agencies & Brokerages,Insurance,Company - Private,NA,Allstate Insurance Company,33.3062,-111.84125
1564,Federal-Data Engineer-Architect,92.5,101,84,DC Ranch,AZ,NA,10+ billion,3.9,10000+ employees,Consulting,Business Services,Company - Public,31,Accenture,33.6694,-111.866546
1565,Principal Data Engineer,92.5,101,84,Scottsdale,AZ,NA,2-5 billion,3.5,10000+ employees,Consulting,Business Services,Company - Public,4,IHS Markit,33.4942,-111.926018
1566,Lead Data Engineer,92.5,101,84,Glendale,AZ,NA,Unknown,NA,51 to 200 employees,,,Company - Private,NA,Tech One IT,33.5387,-112.185994
1567,Analytics Consultant 5,92.5,101,84,Tempe,AZ,NA,Unknown,5,Unknown,,,Unknown,NA,AllSTEM Connections,33.4255,-111.940009
1568,Azure Data Engineer,92.5,101,84,Tempe,AZ,NA,25-50 million,4.1,10000+ employees,Staffing & Outsourcing,Business Services,Company - Public,54,Kforce,33.4255,-111.940009
1569,Lead Data Engineer,92.5,101,84,Glendale,AZ,NA,100-500 million,3.8,1001 to 5000 employees,Staffing & Outsourcing,Business Services,Company - Private,15,Diversant LLC,33.5387,-112.185994
1570,Glendale Data Science Tutor Jobs,92.5,101,84,Glendale,AZ,NA,Unknown,4.2,201 to 500 employees,Internet,Information Technology,Company - Private,13,Varsity Tutors,33.5387,-112.185994
1571,Tempe Data Science Tutor Jobs,92.5,101,84,Tempe,AZ,NA,Unknown,4.2,201 to 500 employees,Internet,Information Technology,Company - Private,13,Varsity Tutors,33.4255,-111.940009
1572,Scottsdale Data Science Tutor Jobs,92.5,101,84,Scottsdale,AZ,NA,Unknown,4.2,201 to 500 employees,Internet,Information Technology,Company - Private,13,Varsity Tutors,33.4942,-111.926018
1573,Senior Data Engineer,92.5,101,84,Chandler,AZ,NA,Unknown,4.4,51 to 200 employees,IT Services,Information Technology,Company - Private,5,Adwait Algorithm,33.3062,-111.84125
1574,Senior Data Engineer,92.5,101,84,Chandler,AZ,NA,Unknown,3.6,501 to 1000 employees,Staffing & Outsourcing,Business Services,Company - Private,24,"ICST, LLC",33.3062,-111.84125
1575,Sr. Data Engineer with Strong Python,92.5,101,84,Chandler,AZ,NA,100-500 million,3.2,1001 to 5000 employees,Staffing & Outsourcing,Business Services,Company - Private,13,Net2Source Inc.,33.3062,-111.84125
